Eduard Bazardo	SEA		35.3333	0	0.534282207	0.534282207	20997
Randal Grichuk	- - -	118		0.53203401		0.53203401	10243
J.T. Realmuto	PHI	206		0.530907571		0.530907571	11739
Patrick Corbin	TOR		64.6666	0	0.530261695	0.530261695	9323
Manny Machado	SDP	323		0.529974997		0.529974997	11493
Jimmy Herget	COL		19.3333	0	0.528913617	0.528913617	17556
Yennier Cano	BAL		26.6666	0	0.524490714	0.524490714	25911
Pedro PagÃ©s	STL	143		0.519629061		0.519629061	25782
Drew Anderson	DET		49	0	0.518289864	0.518289864	15130
Bryan King	HOU		34	0	0.513786912	0.513786912	25890
Alex Call	LAD	124		0.513154566		0.513154566	19296
Joe Boyle	TBR		15.6666	0	0.512972534	0.512972534	29608
Jordan Lawlar	ARI	44		0.505520046		0.505520046	29976
JosÃ© Suarez	- - -		40.9999	0	0.504419107	0.504419107	19911
Ryan McMahon	NYY	202		0.504341781		0.504341781	15112
Nathaniel Lowe	CIN	197		0.500844061		0.500844061	19566
Daniel Lynch IV	KCR		33	0	0.496634662	0.496634662	21537
Luke Keaschall	MIN	302		0.491666108		0.491666108	33321
Mason Fluharty	TOR		31.6666	0	0.488698125	0.488698125	31553
Lane Thomas	KCR	203		0.477966338		0.477966338	16939
Mason Montgomery	PIT		29.6666	0	0.47714591	0.47714591	29770
Kyle Hart	SDP		24	0	0.473268986	0.473268986	19646
Brennan Bernardino	COL		31.3333	0	0.472590774	0.472590774	16835
Donovan Walton	LAA	83		0.470911533		0.470911533	19314
Gary SÃ¡nchez	MIL	149		0.467748135		0.467748135	11442
Jonathan Bowlan	PHI		23.6666	0	0.465924233	0.465924233	24607
Ildemaro Vargas	ARI	264	1.6666	0.489475846	-0.024873147	0.4646027	13324
Ryan Waldschmidt	ARI	122		0.460860431		0.460860431	35061
Stephen Kolek	KCR		52	0	0.457565427	0.457565427	21487
Jose Altuve	HOU	253		0.456517398		0.456517398	5417
Trevor McDonald	SFG		45.6666	0	0.454877496	0.454877496	26448
Kyle Hurt	LAD		26.3333	0	0.454452455	0.454452455	27514
Taylor Walls	TBR	211		0.454277396		0.454277396	22458
Austin Hedges	CLE	120	1.3333	0.442333102	0.007876358	0.45020946	12976
Riley O'Brien	STL		33.3333	0	0.450027734	0.450027734	20348
Josh Hader	HOU		10	0	0.446850955	0.446850955	14212
Anthony Kay	CHW		76.3333	0	0.446633756	0.446633756	20387
Caleb Durbin	BOS	251		0.440910965		0.440910965	29646
Tyler Alexander	TEX		32.3333	0	0.439044327	0.439044327	17735
Kyle Isbel	KCR	183		0.438503593		0.438503593	21614
Connor Wong	BOS	103		0.437858194		0.437858194	19896
Cal Raleigh	SEA	213		0.437360018		0.437360018	21534
JosÃ© A. Ferrer	SEA		33	0	0.436504662	0.436504662	24017
Garrett Cleavinger	TBR		20.3333	0	0.43250832	0.43250832	17897
Abner Uribe	MIL		29.3333	0	0.432355136	0.432355136	25327
Gerrit Cole	NYY		32.3333	0	0.432255715	0.432255715	13125
Corey Seager	TEX	204		0.431313604		0.431313604	13624
Chase Dollander	COL		44	0	0.431091964	0.431091964	33482
Cole Carrigg	COL	58		0.429576635		0.429576635	33253
Tomoyuki Sugano	COL		79.3333	0	0.429063439	0.429063439	35321
Brandyn Garcia	ARI		18	0	0.425946891	0.425946891	33568
Keaton Winn	SFG		30.6666	0	0.424745828	0.424745828	23499
Ryan Feltner	COL		47	0	0.421460629	0.421460629	21446
Rico Garcia	BAL		33.3333	0	0.417396545	0.417396545	20023
Jake Mangum	PIT	184		0.411030471		0.411030471	26202
Kyle Manzardo	CLE	253		0.409885943		0.409885943	29794
Jakob Marsee	MIA	327		0.408149242		0.408149242	31370
AndrÃ©s MuÃ±oz	SEA		28.3333	0	0.407686979	0.407686979	20373
Tyler Callihan	PIT	53	1	0.412443757	-0.010564961	0.401878797	27497
Jonathan LoÃ¡isiga	ARI		29.6666	0	0.401839703	0.401839703	19753
Dane Myers	CIN	129		0.400993198		0.400993198	22054
Blaze Jordan	STL	47		0.397367835		0.397367835	28199
Francisco Lindor	NYM	110		0.395917267		0.395917267	12916
Juan Mejia	COL		34.6666	0	0.391553819	0.391553819	23237
Elias DÃ­az	- - -	52		0.389280602		0.389280602	11680
Kyle Freeland	COL		72	0	0.385821819	0.385821819	16256
Enmanuel De Jesus	DET		29.6666	0	0.384407014	0.384407014	18554
Peyton Gray	TEX		26.3333	0	0.380386174	0.380386174	25310
Lake Bachar	MIA		42.3333	0	0.380320489	0.380320489	19222
Miguel Rojas	LAD	130	3	0.513581276	-0.133507252	0.380074024	7802
Graham Ashcraft	CIN		27	0	0.377542943	0.377542943	27552
